Sum of Votes,,RaceOrder,RaceName,BallotOrder,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,200,,401,,620,,621,,622,,623,,624,,625,,626,,627,,628,,629,,630,,631,,700,,Итого
,,State Measures - Referendum Measure No. 88,,State Measures - Initiative Measure No. 976,,Advisory Votes - Advisory Vote No. 20,,Advisory Votes - Advisory Vote No. 21,,Advisory Votes - Advisory Vote No. 22,,Advisory Votes - Advisory Vote No. 23,,Advisory Votes - Advisory Vote No. 24,,Advisory Votes - Advisory Vote No. 25,,Advisory Votes - Advisory Vote No. 26,,Advisory Votes - Advisory Vote No. 27,,Advisory Votes - Advisory Vote No. 28,,Advisory Votes - Advisory Vote No. 29,,Advisory Votes - Advisory Vote No. 30,,Advisory Votes - Advisory Vote No. 31,,Proposed Amendments to the Constitution - Senate Joint Resolution No. 8200,,
,,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,
DistrictNumber,DistrictName,Approved,Rejected,Yes,No,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Repealed,Maintained,Approved,Rejected,
39,LEGISLATIVE DISTRICT 39,13195,24163,25951,13101,28710,8719,26937,10596,28619,8645,16745,21018,28510,8445,25840,11223,25959,11022,28983,8626,21021,16052,29237,7857,25438,11602,20587,16569,19758,18104,561232
40,LEGISLATIVE DISTRICT 40,29513,20321,19521,32147,24000,22588,24556,22699,23791,22812,11980,36265,23719,22020,20365,25589,19685,26207,22049,25119,15234,30836,24403,21778,20464,25485,15345,30624,35144,13503,707762
41,LEGISLATIVE DISTRICT 41,24484,20556,21314,25117,23490,18111,20443,21590,21300,20406,9938,32679,21946,18930,18702,22505,18173,23103,20138,21818,14062,27309,24563,16720,18981,22266,14086,27270,33535,11117,634652
42,LEGISLATIVE DISTRICT 42,24595,28227,28839,25886,32478,18430,33323,17910,32585,18341,18948,32983,32913,17335,29792,20846,28630,21683,32249,19067,23164,27344,33248,17437,29753,20911,23714,26505,31022,20529,768687
43,LEGISLATIVE DISTRICT 43,47596,9875,10264,48608,12129,39534,13270,39041,10787,40970,5109,47666,11016,39590,8156,43105,8770,42324,8164,44122,7322,43851,12414,38491,9529,41563,6153,45261,51034,5816,791530
44,LEGISLATIVE DISTRICT 44,16623,22849,25248,16012,27962,11107,25303,13864,26977,11905,14480,25104,27074,11487,24023,14715,23878,14786,27164,12038,19409,19264,28182,10492,24507,14215,18873,19929,24139,15758,587367
45,LEGISLATIVE DISTRICT 45,23451,21205,21877,24023,24356,17445,21786,20555,22798,19269,11180,31552,23065,18167,20032,21559,20009,21666,21744,20581,15634,26121,25485,16147,20445,21193,15519,26243,31917,12639,637663
46,LEGISLATIVE DISTRICT 46,39682,15002,15492,40882,17967,31045,17353,32369,16717,32428,7858,42440,16913,31155,13501,35142,13742,34980,14846,34821,10884,37846,18427,30068,14719,33921,10003,38873,45667,8544,753287
47,LEGISLATIVE DISTRICT 47,14674,18342,22098,11941,22204,9711,20571,11613,21825,10219,12659,19596,21754,9831,19483,12260,19920,11868,22337,9836,16390,15432,22978,8776,19558,12228,15491,16294,20085,12977,482951
48,LEGISLATIVE DISTRICT 48,20045,15697,16155,20534,17930,15059,16411,17077,16619,16597,8179,25633,16800,15737,14398,18438,14276,18559,15512,17943,11283,21614,18713,14109,14828,17974,11119,21801,26491,9065,504596
49,LEGISLATIVE DISTRICT 49,15014,12613,15682,12540,16118,8665,14895,10004,15430,9321,8056,17194,15059,9364,13249,11224,13438,11020,14749,10091,10327,14248,15556,8970,13596,10871,9968,14579,18765,8583,379189
Итого,,952053,973610,1055749,936751,1160463,683870,1094028,763429,1144394,700391,621440,1256542,1140727,680183,1013783,816936,1009275,818192,1129203,728566,819232,1012991,1188272,645358,1021792,809164,792401,1039887,1247265,670086,27926033
